Title,cast,crew,genres,final_tag,movie_id
The Discovery,Justin Lader (screenplay); Jason Segel,Charlie McDowell,Drama Romance Science Fiction Thriller Mystery,"In the near future, due to a breakthrough scientific discovery by Dr. Thomas Harbor, there is now definitive proof of an afterlife. While countless people have chosen suicide to reset their existence, others try to decide what it all means. Among them is Dr. Harbor's son Will, who has arrived at his father's isolated compound with a mysterious young woman named Isla. There, they discover the strange acolytes who help Dr. Harbor with his experiments.en",376134.0
Carrie Pilby,,Susan Johnson,Comedy Drama,"Awkward, isolated and disapproving of most of the people around her, a precocious 19-year-old genius is challenged to put her convictions to the test by venturing out on to the NYC dating scene.en",317560.0
The Case for Christ,Mike Vogel,Jon Gunn,Drama,"Based on the true story of an award-winning investigative journalist -- and avowed atheist -- who applies his well-honed journalistic and legal skills to disprove the newfound Christian faith of his wife... with unexpected, life-altering results.en",424998.0
Smurfs: The Lost Village,Demi Lovato,Kelly Asbury,Family Adventure Animation Comedy,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.en",137116.0
Going in Style,Morgan Freeman,Zach Braff,Crime Comedy,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.en",353070.0
Colossal,Anne Hathaway,Nacho Vigalondo,Drama Fantasy Science Fiction,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.en,339967.0
Gifted,Chris Evans,Marc Webb,Family Drama Comedy,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.en",400928.0
Aftermath,Arnold Schwarzenegger,Elliott Lester,Horror Crime Drama Thriller,"Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history.en",763149.0
The Fate of the Furious,Vin Diesel,F. Gary Gray,Action Crime Thriller,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.en",337339.0
Spark,Jace Norman,Aaron Woodley,Adventure Animation Comedy Family Science Fiction,"Spark, a teenage monkey and his friends, Chunk and Vix, are on a mission to regain Planet Bana - a kingdom overtaken by the evil overlord Zhong.en",322487.0
