Title,cast,crew,genres,final_tag,movie_id
Thor: Ragnarok,Chris Hemsworth,Taika Waititi,Action Adventure Fantasy Science Fiction,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.en",284053.0
A Bad Moms Christmas,Mila Kunis,"Jon Lucas (director/screenplay), Scott Moore",Comedy,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.en",431530.0
Last Flag Flying,Darryl Ponicsan (screenplay); Steve Carell,Richard Linklater,Drama Comedy,"Thirty years after serving together in the Vietnam War, Larry ""Doc"" Shepherd, Sal Nealon and the Rev. Richard Mueller reunite for a different type of mission: to bury Doc's son, a young Marine killed in Iraq. Forgoing burial at Arlington National Cemetery, Doc and his old buddies take the casket on a bittersweet trip up the coast to New Hampshire. Along the way, the three men find themselves reminiscing and coming to terms with the shared memories of a war that continues to shape their lives.en",419709.0
Lady Bird,Saoirse Ronan,Greta Gerwig,Drama Comedy,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.en",391713.0
Murder on the Orient Express,Kenneth Branagh,Kenneth Branagh,Mystery Crime Drama,Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.en,392044.0
Daddy's Home 2,,"Sean Anders (director/screenplay), John Morris (screenplay); Will Ferrell, Mark Wahlberg, Linda Cardellini, John Cena, Mel Gibson, John Lithgow",Comedy,Brad and Dusty must deal with their intrusive fathers during the holidays.en,419680.0
LBJ,Woody Harrelson,Rob Reiner,Drama History,The story of U.S. President Lyndon Baines Johnson from his young days in West Texas to the White House.en,353575.0
"Three Billboards Outside Ebbing, Missouri",Frances McDormand,Martin McDonagh,Crime Drama,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.en",359940.0
Mayhem,Steven Yeun,Joe Lynch,Action Comedy Horror,A virus spreads through an office complex causing white collar workers to act out their worst impulses.en,429733.0
Justice League,Ben Affleck,Zack Snyder,Action Adventure Fantasy Science Fiction,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.en",791373.0
The Star,Steven Yeun,Timothy Reckart,Comedy Adventure Family Fantasy Animation,"A small but brave donkey and his animal friends become the unsung heroes of the greatest story ever told, the first Christmas.en",355547.0
Wonder,Steve Conrad,Stephen Chbosky,Action Adventure Fantasy,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.en,464052.0
Cook Off!,Guy Shalem (director); Wendi McLendon-Covey,Cathryn Michon (director/screenplay); Guy Shalem,Comedy,Amateur 'chefs' from around the country compete for a million dollar prize in the ultimate food fight.en,370301.0
Mr. Roosevelt,Noël Wells,Noël Wells,Comedy,A young woman returns home and must confront her ex-boyfriend when an unexpected tragedy occurs.en,424510.0
"Roman J. Israel, Esq.",,"Dan Gilroy (director/screenplay), Denzel Washington, Colin Farrell, Carmen Ejogo, Shelley Hennig",Drama Crime Thriller,"Hard-nosed liberal lawyer Roman J. Israel has been fighting the good fight forever while others take the credit. When his partner – the firm's frontman – has a heart attack, Israel suddenly takes on that role. He soon discovers some unsettling truths about the firm – truths that conflict with his values of helping the poor and dispossessed – and finds himself in an existential crisis that leads to extreme actions.en",413362.0
Coco,Anthony Gonzalez,Lee Unkrich,Family Animation Fantasy Music Comedy Adventure,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.en",354912.0
Darkest Hour,Gary Oldman,Joe Wright,Drama History,"A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.en",399404.0
The Man Who Invented Christmas,Dan Stevens,Bharat Nalluri,Drama History Comedy Family,"In 1843, despite the fact that Dickens is a successful writer, the failure of his latest book puts his career at a crossroads, until the moment when, struggling with inspiration and confronting reality with his childhood memories, a new character is born in the depths of his troubled mind; an old, lonely, embittered man, so vivid, so human, that a whole world grows around him, a story so inspiring that changed the meaning of Christmas forever.en",450322.0
Call Me by Your Name,Timothée Chalamet,Luca Guadagnino,Romance Drama,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.en",398818.0
The Disaster Artist,James Franco,James Franco,Comedy Drama,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.en",371638.0
The Shape of Water,Vanessa Taylor (screenplay); Sally Hawkins,Guillermo del Toro,Drama Fantasy Romance,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.en",399055.0
Wonder Wheel,Kate Winslet,Woody Allen,Drama,"The story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s: Ginny, an emotionally volatile former actress now working as a waitress in a clam house; Humpty, Ginny’s rough-hewn carousel operator husband; Mickey, a handsome young lifeguard who dreams of becoming a playwright; and Carolina, Humpty’s long-estranged daughter, who is now hiding out from gangsters at her father’s apartment.en",429189.0
"I, Tonya",Margot Robbie,Craig Gillespie,Drama,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.en",389015.0
Just Getting Started,Morgan Freeman,Ron Shelton,Action Comedy,"Duke Diver is living the high life as the freewheeling manager of a luxurious resort in Palm Springs, Calif. He soon faces competition from Leo, a former military man who likes the same woman that Duke is interested in. When Diver's past suddenly catches up with him, he must put aside his differences and reluctantly team up with Leo to stop whoever is trying to kill him.en",398177.0
Star Wars: The Last Jedi,Mark Hamill,Rian Johnson,Science Fiction Action Adventure,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.en",181808.0
Ferdinand,John Cena,Carlos Saldanha,Animation Family Adventure Comedy,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.en",364689.0
Beyond Skyline,Frank Grillo,Liam O'Donnell,Action Science Fiction Adventure Horror,"Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all.en",271404.0
Jumanji: Welcome to the Jungle,Dwayne Johnson,Jake Kasdan,Adventure Action Comedy Fantasy,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.en",353486.0
The Greatest Showman,Hugh Jackman,Michael Gracey,Drama,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.en",316029.0
Pitch Perfect 3,Anna Kendrick,Trish Sie,Comedy Music,"After the highs of winning the world championships, the Bellas find themselves split apart and discovering there aren't job prospects for making music with your mouth. But when they get the chance to reunite for an overseas USO tour, this group of awesome nerds will come together to make some music, and some questionable decisions, one last time.en",353616.0
Downsizing,Jim Taylor (screenplay); Matt Damon,Alexander Payne,Comedy Drama Science Fiction,A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.en,301337.0
Father Figures,Owen Wilson,Lawrence Sher,Comedy,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.en",354861.0
The Post,Tom Hanks,Steven Spielberg,Drama History,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.en,446354.0
Bright,Will Smith,David Ayer,Fantasy Action Thriller,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.en",400106.0
Crooked House,Tim Rose Price,Gilles Paquet-Brenner,Drama Mystery Crime,"A private investigator helps a former flame solve the murder of her wealthy grandfather, who lived in a sprawling estate surrounded by his idiosyncratic family.en",419835.0
Hostiles,Christian Bale,Scott Cooper,Western Drama History,A legendary Native American-hating Army captain nearing retirement in 1892 is given one last assignment: to escort a Cheyenne chief and his family through dangerous territory back to his Montana reservation.en,384680.0
All the Money in the World,Michelle Williams,Ridley Scott,Thriller Drama Crime Mystery History,The story of the kidnapping of 16-year-old John Paul Getty III and the desperate attempt by his devoted mother to convince his billionaire grandfather Jean Paul Getty to pay the ransom.en,446791.0
Molly's Game,Jessica Chastain,Aaron Sorkin,Crime Drama,"Molly Bloom, a young skier and former Olympic hopeful becomes a successful entrepreneur (and a target of an FBI investigation) when she establishes a high-stakes, international poker game.en",396371.0
Phantom Thread,Daniel Day-Lewis,Paul Thomas Anderson,Drama Romance,"In 1950s London, renowned British dressmaker Reynolds Woodcock comes across Alma, a young, strong-willed woman, who soon becomes ever present in his life as his muse and lover.en",400617.0
Insidious: The Last Key,Lin Shaye,Adam Robitel,Horror Mystery Thriller,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.en",406563.0
The Strange Ones,,Lauren Wolkstein,Thriller Drama,"Mysterious events surround the travels of two brothers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets. This is the feature film version of the 2011 short film going by the same name.en",426258.0
Stratton,Dominic Cooper,Simon West,Action Thriller,A British Special Boat Service commando tracks down an international terrorist cell.en,348389.0
Sweet Country,Bryan Brown,Warwick Thornton,Drama History Western,"It’s 1929 on the vast, desert-like, Eastern Arrernte Nation lands that are now known as the Central Australian outback. Sam Kelly, a middle-aged Aboriginal man, works the land of a kind preacher, Fred Smith. After an ill-tempered bully arrives in town and Kelly kills him in self-defence, he and his wife go on the run as a posse gathers to hunt him down.en",468210.0
The Commuter,Liam Neeson,Jaume Collet-Serra,Action Thriller Mystery,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.en",399035.0
Proud Mary,Taraji P. Henson,Babak Najafi,Thriller Action Crime,"Mary is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.en",442064.0
Acts of Violence,Bruce Willis,Brett Donowho,Action,"When his fiancee is kidnapped by human traffickers, Roman and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman teams up with Avery, a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions.en",479040.0
Freak Show,Alex Lawther,Trudie Styler,Comedy Drama,"The story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen.en",440424.0
Humor Me,Jemaine Clement,Sam Hoffman,Comedy,"With an interminable case of writer's block and a personal family crisis, playwright Nate is forced to move into his father's retirement community.en",460216.0
Vazante,Beto Amaral (screenplay); Adriano Carvalho,Daniela Thomas,Drama,"Brazil 1821. Upon his return to the imposing farmhouse, Antonio, a rich cattle herder, finds out that his wife dies in labor. Forced to live in the property with numerous African slaves, he marries his wife's niece. A restless soul, he returns to droving, leaving his young wife behind alone with the slaves.pt",436355.0
Mary and the Witch's Flower,Riko Sakaguchi (screenplay); Ruby Barnhill,Hiromasa Yonebayashi,Fantasy Adventure Animation,"Mary Smith, a young girl who lives with her great-aunt in the countryside, follows a mysterious cat into the nearby forest where she finds a strange flower and an old broom, none of which is as ordinary as it seems.ja",430447.0
12 Strong,Chris Hemsworth,Nicolai Fuglsig,War Drama Action History,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.en,429351.0
Den of Thieves,Paul Scheuring (screenplay); Gerard Butler,Christian Gudegast,Action Thriller Crime,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.en,449443.0
Forever My Girl,Alex Roe,Bethany Ashton Wolf,Romance Drama Music,"After being gone for a decade, a country star returns home to the love he left behind.en",417261.0
Maze Runner: The Death Cure,Dylan O'Brien,Wes Ball,Science Fiction Action Adventure Thriller,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.en",336843.0
The Insult,Joelle Touma (screenplay); Adel Karam,Ziad Doueiri,Comedy Crime,"Frank Drebin is persuaded out of retirement to go undercover in a state prison. There he has to find out what top terrorist, Rocco, has planned for when he escapes. Adding to his problems, Frank's wife, Jane, is desperate for a baby.en",36593.0
Please Stand By,Dakota Fanning,Ben Lewin,Comedy Drama,"A young autistic woman runs away from her caregiver in order to boldly go and deliver her 500-page Star Trek script to a writing competition in Hollywood. On an adventure full of laughter and tears, Wendy follows the guiding spirit of Mr. Spock on her journey into the unknown.en",338768.0
Winchester,Helen Mirren,The Spierig Brothers,Horror Thriller,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company.en",416234.0
A Fantastic Woman,Gonzalo Maza (screenplay); Daniela Vega,Sebastián Lelio,Drama,"Marina's life is thrown into turmoil following the death of her partner. Mourning the loss of the man she loved, she finds herself under intense scrutiny from those with no regard for her privacy.es",429191.0
Armed,Mario Van Peebles,Mario Van Peebles,Action Horror Thriller,The story follows a team of highly trained operatives who find themselves trapped inside an isolated military compound.en,450932.0
The Cloverfield Paradox,Daniel Brühl,Julius Onah,Horror Science Fiction Action Thriller,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.en",384521.0
Bad Apples,Brea Grant,Bryan Coyne,Horror,"It’s Halloween night, and two “bad apples” decide to play some wicked tricks on the one house in a suburban cul-de-sac that is not celebrating Halloween. They terrorize a young couple in their home and these tricks become increasingly more sinister as the night progresses, finally ending in a Halloween the entire neighborhood will never forget.en",497269.0
Peter Rabbit,Rob Lieber (screenplay); James Corden,Will Gluck,Family Comedy Adventure Animation Fantasy,"Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world where his mischief is appreciated, but when his family risks everything to come looking for him, Peter must figure out what kind of bunny he wants to be.en",522478.0
Fifty Shades Freed,Dakota Johnson,James Foley,Drama Romance,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.en",337167.0
The 15:17 to Paris,Anthony Sadler,Clint Eastwood,Thriller History Drama,"In August 2015, an ISIS terrorist boarded train #9364 from Brussels to Paris. Armed with an AK-47 and enough ammo to kill more than 500 people, the terrorist might have succeeded except for three American friends who refused to give in to fear. One was a college student, one was a martial arts enthusiast and airman first class in the U.S. Air Force, and the other was a member of the Oregon National Guard, and all three pals proved fearless as they charged and ultimately overpowered the gunman after he emerged from a bathroom armed and ready to kill.en",453201.0
La Boda de Valentina,,Marco Polo Constandse,Comedy,Valentina's seemingly idyllic life in the US is interrupted when planning a wedding means introducing her fiancé to her scandalous family in Mexico.es,498919.0
Kri,Anmol K.C.,Surendra Poudel,,Kri-Kri fools his friend by pretending to be him in the mirror.en,190746.0
Permission,Rebecca Hall,Brian Crano,Comedy Romance Drama,A woman on the brink of a marriage proposal is told by a friend that she should date other men before spending the rest of her life with her boyfriend.en,390059.0
Monster Family,Emily Watson,Holger Tappe,Animation Family,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf but when aided by their three pet bats, the Monster Family zooms around the world again to save their friends, make new monstrous acquaintances.en",823609.0
Golden Exits,Emily Browning,Alex Ross Perry,Drama,An intersectional narrative of two families in Brooklyn and the unraveling of unspoken unhappiness that occurs when a young foreign girl spending time abroad upsets the balance on both sides.en,407719.0
Black Panther,Chadwick Boseman,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Action Adventure Science Fiction,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.en",284054.0
Early Man,Eddie Redmayne,Nick Park,Family Comedy Animation Adventure,"Dug, along with his sidekick Hognob, unite a cavemen tribe to save their hidden valley from being spoiled and, all together as a team, to face the menace of a mysterious and mighty enemy, on the turf of an ancient and sacred sport.en",387592.0
Loveless,Maryana Spivak,Andrey Zvyagintsev,Drama,Trouble ensues when a motorcycle gang stops in a small southern town while heading to the races at Daytona.en,36826.0
The Party,Timothy Spall,Sally Potter,Fantasy Comedy Drama,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.en,785457.0
Nostalgia,Alex Ross Perry (screenplay); Jon Hamm,Mark Pellington,Drama,"A mosaic of stories about love and loss, exploring our relationship to the objects, artifacts, and memories that shape our lives.en",442709.0
Black '47,Hugo Weaving,Lance Daly,Drama Western,"In 1847, when Ireland is in the grip of the Great Famine that has ravaged the country for two long years, Feeney, a hardened Irish Ranger who has been fighting for the British Army abroad, returns home to reunite with his estranged family, only to discover the cruelest reality, a black land where death reigns.en",438145.0
Samson,Taylor James,Bruce Macdonald,Action Drama Adventure,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.en",474392.0
Game Night,Jason Bateman,"Jonathan Goldstein, John Francis Daley",Mystery Comedy Crime,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.en",445571.0
Annihilation,Natalie Portman,Alex Garland,Science Fiction Horror,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.en",300668.0
Every Day,Angourie Rice,Michael Sucsy,Fantasy Romance,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.en",465136.0
The Cured,,David Freyne,Horror Drama Science Fiction,"What happens when the undead return to life? In a world ravaged for years by a virus that turns the infected into zombie-like cannibals, a cure is at last found and the wrenching process of reintegrating the survivors back into society begins.en",469721.0
The Lodgers,Charlotte Vega,Brian O'Malley,Drama Horror Romance Thriller,"1920, rural Ireland. Anglo-Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The Lodgers) which enforces three rules upon the twins: they must be in bed by midnight; they may not permit an outsider past the threshold; and if one attempts to escape, the life of the other is placed in jeopardy. When troubled war veteran Sean returns to the nearby village, he is immediately drawn to the mysterious Rachel, who in turn begins to break the rules set out by The Lodgers. The consequences pull Rachel into a deadly confrontation with her brother - and with the curse that haunts them.en",429467.0
Red Sparrow,Jennifer Lawrence,Francis Lawrence,Mystery Thriller,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.en",401981.0
Death Wish,Bruce Willis,Eli Roth,Action Crime Drama Thriller,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.en,395990.0
The Vanishing of Sidney Hall,Jason Dolan (screenplay); Logan Lerman,Shawn Christensen,Mystery Drama,"Over the course of 12 years, and three stages of life, Sidney Hall falls in love, writes the book of a generation and then disappears without a trace.en",353066.0
Foxtrot,Lior Ashkenazi,Samuel Maoz,Action Science Fiction Drama,"Escalating climate change is turning the world economy upside down. With crops dying and food price spiking, FOOD has replaced oil as the world's most valuable commodity.  Among the very few lands still left fertile, Indonesia is quickly rising as the next economic superpower, when its government is suddenly and ruthlessly overtaken by a popular rogue political party.  In just three days, six former Marines must work together, find their long-lost brotherhood, stop a nationwide government- sanctioned genocide, and save millions of lives, for one last shot at redemption. Or die trying.en",491854.0
Pickings,Elyse Price,Usher Morgan,Thriller Action Crime Drama Mystery,"When a short-tempered mobster and his gang of thugs try to shake down a neighborhood bar, they're soon confronted with the wrath of its owner - a mysterious southern mother with a dangerous past.en",457312.0
A Wrinkle in Time,Storm Reid,Ava DuVernay,Adventure Science Fiction Family Fantasy,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.en",407451.0
Gringo,David Oyelowo,Nash Edgerton,Action Thriller Crime Drama,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a 9-year-old boy.en,80389.0
Thoroughbreds,Olivia Cooke,Cory Finley,Drama Thriller,"Two teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. In the process, they learn that neither is what she seems to be, and that a murder might solve both of their problems.en",397722.0
The Death of Stalin,Steve Buscemi,Armando Iannucci,Comedy Drama History,"Proclaimed the funniest political comedy of the year (The Daily Beast), The Death of Stalin delivers a brutally executed parody of Cold War Russia. When the tyrannical ruler Stalin dies, his hapless inner circle scrambles to come up with the next evolution of the revolution ? but it's clear everyone is really out for themselves. Written and directed by Emmy® Award winning and Oscar® nominated Armando Iannucci, Rolling Stone calls the film a brilliant satire from a crack ensemble (including Emmy® and Golden Globe® winner Steve Buscemi, Simon Russell Beale, Andrea Riseborough and Michael Palin). Proof that comedy, like politics, is all in the execution.en",402897.0
The Leisure Seeker,Francesca Archibugi,Paolo Virzì,Drama Romance Adventure,"A runaway couple go on an unforgettable journey from Boston to Key West, recapturing their passion for life and their love for each other on a road trip that provides revelation and surprise right up to the very end.en",449749.0
The Strangers: Prey at Night,Christina Hendricks,Johannes Roberts,Horror Thriller,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family’s every limit as they struggle to survive.en",371608.0
The Hurricane Heist,Toby Kebbell,Rob Cohen,Action Crime Thriller,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.en,430040.0
Tomb Raider,Alicia Vikander,Roar Uthaug,Action Adventure Fantasy,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.en",338970.0
"Love, Simon",Nick Robinson,Greg Berlanti,Comedy Drama Romance,Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.en,449176.0
I Can Only Imagine,Andrew Erwin (co-director),Jon Erwin,Music Drama,"10-year-old Bart Millard lives with his mother and abusive father Arthur in Texas. One day his mother drops him off at a Christian camp where he meets Shannon. Upon his return from camp, Bart finds his mother has left and movers are removing her belongings. He angrily confronts his father, who denies that his abusiveness was the reason she left. Years later, in high school, Bart and Shannon are dating. Bart plays football to please his father, but is injured, breaking both ankles and ending his career. The only elective with openings is music class, so he reluctantly signs up..en",470878.0
7 Days in Entebbe,Rosamund Pike,José Padilha,Thriller Drama Crime,"In 1976, four hijackers take over an Air France airplane en route from Tel Aviv to Paris and force it to land in Entebbe, Uganda. With 248 passengers on board, one of the most daring rescue missions ever is set in motion.en",433627.0
Furlough,Melissa Leo,Laurie Collyer,Comedy,"In between caring for her mother, a young woman works part time at a prison. The rookie guard gets a chance to prove her mettle when she's tasked with accompanying a hell-raising inmate on an emergency furlough to visit her dying mother. But things soon spiral out of control, sending the pair on a hilarious, surprising, and ultimately touching road trip.en",502426.0
Josie,,"Eric England (director), Anthony Ragnone II (screenplay); Sophie Turner, Dylan McDermott, Jack Kilmer",Thriller Drama,"Everyone knows everyone in the southern town of Baymont. So when tattooed, sweet-talking Josie struts into town, heads turn. Striking up relationships with young punk Gator and loner Hank, she quickly becomes a hot topic of local gossip.en",414187.0
Flower,,"Max Winkler (director), Alex McAulay (screenplay); Zoey Deutch, Kathryn Hahn, Tim Heidecker, Joey Morgan, Adam Scott",Comedy Drama,"Rebellious, quick-witted Erica Vandross is a 17-year-old firecracker living with her single mom, Laurie, and her mom's new boyfriend, Bob, in L.A.'s San Fernando Valley. When Bob's mentally unbalanced son, Luke, arrives from rehab to live with the family, Erica finds her domestic and personal life overwhelmed. With Luke and her sidekicks Kala and Claudine in tow, Erica acts out by exposing a high school teacher's dark secret.en",421471.0
Pacific Rim: Uprising,Emily Carmichael,Steven S. DeKnight,Action Fantasy Science Fiction Adventure,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.en",268896.0
Isle of Dogs,Bryan Cranston,Wes Anderson,Adventure Comedy Animation,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.en",399174.0
Sherlock Gnomes,James McAvoy,John Stevenson,Animation Family Fantasy Comedy Adventure Mystery,"Garden gnomes, Gnomeo & Juliet, recruit renown detective, Sherlock Gnomes, to investigate the mysterious disappearance of other garden ornaments.en",370567.0
Unsane,Claire Foy,Steven Soderbergh,Horror Thriller,A woman is involuntarily committed to a mental institution where she is confronted by her greatest fear.en,467660.0
"Paul, Apostle of Christ",James Faulkner,Andrew Hyatt,Drama History,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.en",476968.0
